first_name,last_name,role
Kozue,Chiba,"['Story', 'Art', 'Story & Art']"
Rise,Serina,['Story']
Mashin,Osakabe,"['Story', 'Art', 'Story & Art']"
Kaoru,Hazuki,"['Story', 'Art', 'Story & Art']"
Miko,Mitsuki,"['Story', 'Art', 'Story & Art']"
Suzuhito,Yasuda,"['Story', 'Art', 'Story & Art']"
Yoko,Matsumoto,"['Story', 'Art', 'Story & Art']"
Shinano,Oumi,"['Story', 'Art', 'Story & Art']"
Mei,Sakuraga,"['Story', 'Art', 'Story & Art']"
Kia,Asamiya,"['Story', 'Art', 'Story & Art']"
,Nigana,['Story']
Kazuo,Kamimura,"['Story', 'Art', 'Story & Art']"
Mia,Yuzuki,['Art']
Gido,Amagakure,"['Story', 'Art', 'Story & Art']"
Souta,Narazaki,"['Story', 'Art', 'Story & Art']"
Yuu,Yabuuchi,"['Story', 'Art', 'Story & Art']"
Lily,Hoshino,"['Story', 'Art', 'Story & Art']"
Hiroshi,Takahashi,"['Story', 'Art', 'Story & Art']"
Juugorou,Isaka,"['Story', 'Art', 'Story & Art']"
Youichi,Ariko,['Art']
,Yukimura,"['Story', 'Art', 'Story & Art']"
Sakyou,Ikegami,['Art']
Kaoru,Fukamachi,['Story']
Shungiku,Nakamura,"['Story', 'Art', 'Story & Art']"
,U35,['Art']
Yasurou,Ibuki,['Story']
Yuriko,Matsukawa,"['Story', 'Art', 'Story & Art']"
Kairi,Shimotsuki,"['Story', 'Art', 'Story & Art']"
,Toilet,['Art']
Yukako,Iisaka,"['Story', 'Art', 'Story & Art']"
Kyou,Hatsuki,"['Story', 'Art', 'Story & Art']"
Aya,Oda,"['Story', 'Art', 'Story & Art']"
,Cool-kyou Shinja,"['Story', 'Art', 'Story & Art']"
Yumi,Tamura,"['Story', 'Art', 'Story & Art']"
Yuu,Kagami,['Story']
Ako,Shimaki,"['Story', 'Art', 'Story & Art']"
Kita,Konno,"['Story', 'Art', 'Story & Art']"
Shunsaku,Tomose,"['Story', 'Art', 'Story & Art']"
Kouji,Seo,"['Story', 'Art', 'Story & Art']"
Takeshi,Ohmi,"['Story', 'Art', 'Story & Art']"
Hikaru,Ninomiya,"['Story', 'Art', 'Story & Art']"
Akemi,Takaido,"['Story', 'Art', 'Story & Art']"
Takaya,Kagami,['Story']
Tetsuya,Saruwatari,"['Story', 'Art', 'Story & Art']"
Youka,Nitta,"['Story', 'Art', 'Story & Art']"
Yukiya,Murasaki,['Story']
,Kayoru,"['Story', 'Art', 'Story & Art']"
Kota,Nozomi,['Story']
,Sikorsky,['Art']
